time,latitude,longitude,pitch,yaw,roll,altitude,heading,gvelocity,vvelocity,fvelocity,xaccel,yaccel,zaccel,aoa,gratio,temperature,distance
(yyyy-MM-ddTHH:mm:ssZ),(deg),(deg),(deg),(deg),(deg),(m),(deg),(km/hr),(km/hr),(km/hr),(m/s2),(m/s2),(m/s2),(deg),(ratio),(celsius),(km)
2017-04-13T15:08:06Z,51.057768,-114.12736,177,13.25,71.69,1100.12,-91.3,0.68,0,0.68,1.23,4860,-4857.54,0,0,15.25,0.006336111
2017-04-13T15:08:08Z,51.057768,-114.127362,177,13.25,71.69,1100.12,-91.32,0.48,0,0.48,-0.72,0,-0.72,0,0,15.25,0.006469444
2017-04-13T15:08:09Z,51.05777,-114.127362,177,13.25,71.69,1100.06,-90.54,0.68,225,225,0.72,810,808.26,0,0,15.19,0.006658333
2017-04-13T15:08:10Z,51.05777,-114.127362,177,13.25,71.69,1100.25,-86.15,0,-675,675,-2.46,-3240,1620,0,0,15.19,0.006658333
2017-04-13T15:08:11Z,51.05777,-114.127362,177,13.25,71.69,1100.19,-86.15,0,225,225,0,3240,-1620,0,0,15.12,0.006658333
2017-04-13T15:08:12Z,51.05777,-114.127362,177,13.25,71.69,1100.38,-85.74,0,-675,675,0,-3240,1620,0,0,15.12,0.006658333
2017-04-13T15:08:13Z,51.057772,-114.127362,177,13.25,71.69,1100.25,-85.83,0.68,450,450,2.46,4050,-810,0,0,15.12,0.006847222
2017-04-13T15:08:14Z,51.05777,-114.127362,177,13.25,71.69,1100.31,-86.15,0.68,-225,225,0,-2430,-810,0,0,15.06,0.007036111
2017-04-13T15:08:16Z,51.05777,-114.12736,177,13.25,71.69,1100.5,-85.97,0.48,-675,675,-0.72,-1620,1620,0,0,15.06,0.007169444
2017-04-13T15:08:17Z,51.057768,-114.12736,177,13.25,71.69,1100.69,-85.86,0.68,-675,675,0.72,0,0,0,0,15,0.007358333
